# wavelength [nm], spectral response [A / W]
300.00000000,0.01222829
305.00023025,0.01320661
310.00046050,0.01471812
315.00069076,0.00942052
320.00092101,0.00824947
325.00115126,0.01019926
329.99970695,0.00870145
334.99993720,0.00816631
340.00016746,0.00246271
345.00039771,0.00365039
350.00062796,0.00392823
355.00085821,0.00290393
360.00108846,0.00436261
364.99964416,0.00330700
369.99987441,0.00572051
375.00010466,0.00739540
380.00033491,0.01639104
385.00056516,0.02458153
390.00079542,0.04057216
395.00102567,0.05526456
400.00125592,0.07048036
404.99981161,0.08096794
409.99836731,0.08970433
415.00529579,0.09584818
419.99547869,0.09789286
425.00240718,0.10711842
429.99259008,0.11440689
434.99951856,0.12319220
440.00644705,0.12736962
444.99662995,0.13622341
450.00355844,0.13554837
454.99374134,0.14199550
460.00066982,0.14450000
465.00759831,0.13862030
469.99778121,0.14656425
475.00470969,0.14351189
479.99489260,0.13506900
485.00182108,0.13038285
490.00874957,0.12888602
494.99893247,0.11651028
500.00586095,0.09929186
504.99604386,0.09076092
510.00297234,0.08092881
514.99315524,0.06571888
520.00008373,0.05101767
525.00701221,0.04255423
529.99719512,0.03711282
535.00412360,0.03150216
539.99430650,0.02748910
545.00123499,0.02424499
550.00816347,0.02302209
554.99834637,0.01958232
560.00527486,0.01663953
564.99545776,0.01398242
570.00238625,0.01378773
575.00931473,0.01325161
579.99949763,0.01302660
585.00642612,0.01182718
589.99660902,0.01279083
595.00353750,0.01192501
599.99372041,0.01161586
605.00064889,0.01067863
610.00757738,0.00902625
614.99776028,0.00861634
620.00468876,0.00835806
624.99487167,0.00799315
630.00180015,0.01009262
635.00872863,0.01014936
639.99891154,0.01103083
645.00584002,0.01267147
649.99602292,0.01374762
655.00295141,0.01577666
659.99313431,0.01814125
665.00006280,0.01978679
670.00699128,0.01882510
674.99717418,0.01889847
680.00410267,0.01952068
684.99428557,0.02082576
690.00121405,0.02422640
695.00814254,0.02607445
699.99832544,0.02924224
705.00525393,0.02990261
709.99543683,0.02829132
715.00236531,0.02785010
720.00929380,0.02516461
724.99947670,0.02542386
730.00640518,0.02682873
734.99658809,0.02910234
740.00351657,0.02951324
744.99369948,0.03114507
750.00062796,0.03099833
755.00755644,0.03097387
759.99773935,0.02954748
765.00466783,0.03016284
769.99485073,0.03450071
775.00177922,0.03701401
780.00870770,0.04313340
784.99889061,0.05289018
790.00581909,0.06529820
794.99600199,0.07932436
800.00293048,0.09130878
804.99311338,0.09990820
810.00004186,0.10799890
815.00697035,0.11428950
819.99715325,0.12016919
825.00408174,0.12317264
829.99426464,0.12763377
835.00119312,0.12713483
840.00812161,0.12470860
844.99830451,0.11972895
850.00523299,0.11368294
854.99541590,0.10813587
860.00234438,0.10485850
865.00927287,0.10515199
869.99945577,0.10522048
875.00638425,0.10426172
879.99656716,0.10704015
885.00349564,0.10651186
889.99367854,0.10335189
895.00060703,0.09880270
900.00753551,0.09160227
904.99771841,0.08649544
910.00464690,0.08137884
914.99482980,0.07688835
920.00175829,0.07165434
925.00868677,0.06699754
929.99886967,0.06329558
935.00579816,0.06081652
939.99598106,0.05854291
945.00290954,0.05706956
950.00983803,0.05484975
955.00002093,0.05207817
960.00694942,0.04802010
964.99713232,0.04408530
970.00406080,0.03964471
974.99424371,0.03551229
980.00117219,0.03198839
985.00810067,0.02985761
989.99828358,0.02764269
995.00521206,0.02536614
999.99539497,0.02362669
1005.00232345,0.02121318
1010.00925193,0.01971537
1014.99943484,0.01792994
1020.00636332,0.01622081
1024.99654622,0.01499009
1030.00347471,0.01311954
1034.99365761,0.01160315
1040.00058610,0.01058569
1045.00751458,0.00901158
1049.99769748,0.00746583
1055.00462597,0.00603944
1059.99480887,0.00519907
1065.00173735,0.00440761
1070.00866584,0.00367387
1074.99884874,0.00334418
1080.00577723,0.00330700
1084.99596013,0.00305948
1090.00288861,0.00256837
1095.00981710,0.00287263
1100.00000000,0.00238542
