# wavelength [nm], spectral response [A / W]
300.00000000,0.01322324
305.00023025,0.01400394
310.00046050,0.01530609
315.00069076,0.00992337
320.00092101,0.00861927
325.00115126,0.01043112
329.99970695,0.00883352
334.99993720,0.00826219
340.00016746,0.00274349
345.00039771,0.00403487
350.00062796,0.00446924
355.00085821,0.00373159
360.00108846,0.00546517
364.99964416,0.00470893
369.99987441,0.00659024
375.00010466,0.00601890
380.00033491,0.00943519
385.00056516,0.00771041
390.00079542,0.01002023
395.00102567,0.00899690
400.00125592,0.01027459
404.99981161,0.01024622
409.99836731,0.01135172
415.00529579,0.01163739
419.99547869,0.01110420
425.00240718,0.01102105
429.99259008,0.01019535
434.99951856,0.01371338
440.00644705,0.01496954
444.99662995,0.02089424
450.00355844,0.02204279
454.99374134,0.02498558
460.00066982,0.02600107
465.00759831,0.02521939
469.99778121,0.03445179
475.00470969,0.04357266
479.99489260,0.05119279
485.00182108,0.06605249
490.00874957,0.08430401
494.99893247,0.09849942
500.00586095,0.10558245
504.99604386,0.12353461
510.00297234,0.13809200
514.99315524,0.14781650
520.00008373,0.14970465
525.00701221,0.16202169
529.99719512,0.17260711
535.00412360,0.17313540
539.99430650,0.16771551
545.00123499,0.16719700
550.00816347,0.17449527
554.99834637,0.16626760
560.00527486,0.15429297
564.99545776,0.14344341
570.00238625,0.13808222
575.00931473,0.13261342
579.99949763,0.11970938
585.00642612,0.10154200
589.99660902,0.08897059
595.00353750,0.07619374
599.99372041,0.06485209
605.00064889,0.05263484
610.00757738,0.04071304
614.99776028,0.03327292
620.00468876,0.02909647
624.99487167,0.02712125
630.00180015,0.02841752
635.00872863,0.02723082
639.99891154,0.02605097
645.00584002,0.02568507
649.99602292,0.02538180
655.00295141,0.02676416
659.99313431,0.02924029
665.00006280,0.03165576
670.00699128,0.03194143
674.99717418,0.03351065
680.00410267,0.03641039
684.99428557,0.04134699
690.00121405,0.04961672
695.00814254,0.05688465
699.99832544,0.06503503
705.00525393,0.06908136
709.99543683,0.06856285
715.00236531,0.06792694
720.00929380,0.06540190
724.99947670,0.06676274
730.00640518,0.07078364
734.99658809,0.07680030
740.00351657,0.08099729
744.99369948,0.08528233
750.00062796,0.08668133
755.00755644,0.08730745
759.99773935,0.08661284
765.00466783,0.08730745
769.99485073,0.09168054
775.00177922,0.09415569
780.00870770,0.09863639
784.99889061,0.10259858
790.00581909,0.10302904
794.99600199,0.10106262
800.00293048,0.10006473
804.99311338,0.10227574
810.00004186,0.10766627
815.00697035,0.11222524
819.99715325,0.11675486
825.00408174,0.11967025
829.99426464,0.12468903
835.00119312,0.12582388
840.00812161,0.12567713
844.99830451,0.12077575
850.00523299,0.11353619
854.99541590,0.10794999
860.00234438,0.10503460
865.00927287,0.10507373
869.99945577,0.10495633
875.00638425,0.10398779
879.99656716,0.10630641
885.00349564,0.10453565
889.99367854,0.10078869
895.00060703,0.09690476
900.00753551,0.09130878
904.99771841,0.08704330
910.00464690,0.08115382
914.99482980,0.07528391
920.00175829,0.06902266
925.00868677,0.06452729
929.99886967,0.06174103
935.00579816,0.06001430
939.99598106,0.05793146
945.00290954,0.05613428
950.00983803,0.05351630
955.00002093,0.05084353
960.00694942,0.04700852
964.99713232,0.04326449
970.00406080,0.03889728
974.99424371,0.03497030
980.00117219,0.03165478
985.00810067,0.02966390
989.99828358,0.02750377
995.00521206,0.02517928
999.99539497,0.02330874
1005.00232345,0.02072695
1010.00925193,0.01916458
1014.99943484,0.01740654
1020.00636332,0.01580111
1024.99654622,0.01469464
1030.00347471,0.01293757
1034.99365761,0.01146031
1040.00058610,0.01041840
1045.00751458,0.00879928
1049.99769748,0.00726039
1055.00462597,0.00589955
1059.99480887,0.00510808
1065.00173735,0.00436358
1070.00866584,0.00365528
1074.99884874,0.00333244
1080.00577723,0.00329624
1084.99596013,0.00304774
1090.00288861,0.00255858
1095.00981710,0.00285306
1100.00000000,0.00236781
