# wavelength [nm], spectral response [A / W]
300.00000000,0.01072266
305.00023025,0.01146716
310.00046050,0.00979032
315.00069076,0.00716256
320.00092101,0.00970716
325.00115126,0.00661665
329.99970695,0.00644153
334.99993720,0.00683286
340.00016746,0.00861634
345.00039771,0.00987152
350.00062796,0.00978641
355.00085821,0.01657497
360.00108846,0.02494253
364.99964416,0.03528923
369.99987441,0.05112529
375.00010466,0.06664535
380.00033491,0.08180930
385.00056516,0.09618081
390.00079542,0.10779346
395.00102567,0.11569828
400.00125592,0.12367158
404.99981161,0.12933605
409.99836731,0.13002087
415.00529579,0.13357217
419.99547869,0.13337651
425.00240718,0.13994103
429.99259008,0.14435325
434.99951856,0.14596747
440.00644705,0.15447885
444.99662995,0.15252221
450.00355844,0.15679747
454.99374134,0.16126839
460.00066982,0.16203148
465.00759831,0.15836278
469.99778121,0.16956454
475.00470969,0.17458331
479.99489260,0.16850795
485.00182108,0.17834984
490.00874957,0.18190114
494.99893247,0.18452304
500.00586095,0.17445613
504.99604386,0.17845746
510.00297234,0.18867111
514.99315524,0.18245878
520.00008373,0.17751827
525.00701221,0.18729168
529.99719512,0.19071580
535.00412360,0.19617482
539.99430650,0.18779062
545.00123499,0.18341754
550.00816347,0.19839561
554.99834637,0.20811032
560.00527486,0.20160449
564.99545776,0.19629222
570.00238625,0.20342417
575.00931473,0.20798313
579.99949763,0.21153443
585.00642612,0.21050720
589.99660902,0.20018593
595.00353750,0.19499105
599.99372041,0.20460793
605.00064889,0.21976210
610.00757738,0.22165026
614.99776028,0.20875601
620.00468876,0.20358070
624.99487167,0.20631021
630.00180015,0.21076156
635.00872863,0.21451831
639.99891154,0.21774676
645.00584002,0.21649451
649.99602292,0.20336547
655.00295141,0.19583241
659.99313431,0.20086097
665.00006280,0.21228774
670.00699128,0.22177744
674.99717418,0.22084803
680.00410267,0.20761137
684.99428557,0.20048921
690.00121405,0.19668355
695.00814254,0.19745642
699.99832544,0.19841517
705.00525393,0.20115447
709.99543683,0.20429487
715.00236531,0.20430465
720.00929380,0.19583241
724.99947670,0.17909337
730.00640518,0.17195164
734.99658809,0.17184402
740.00351657,0.17966079
744.99369948,0.18818195
750.00062796,0.19231046
755.00755644,0.18751670
759.99773935,0.17922055
765.00466783,0.17122768
769.99485073,0.16471207
775.00177922,0.16236411
780.00870770,0.15663115
784.99889061,0.15352010
790.00581909,0.15282549
794.99600199,0.15209175
800.00293048,0.15355923
804.99311338,0.15006663
810.00004186,0.14738604
815.00697035,0.13621363
819.99715325,0.12467925
825.00408174,0.11681356
829.99426464,0.11382969
835.00119312,0.11506237
840.00812161,0.11581567
844.99830451,0.11868215
850.00523299,0.11774296
854.99541590,0.11850605
860.00234438,0.11471996
865.00927287,0.10713798
869.99945577,0.10170831
875.00638425,0.09406764
879.99656716,0.08816837
885.00349564,0.08525298
889.99367854,0.08122230
895.00060703,0.07833626
900.00753551,0.07484366
904.99771841,0.07165434
910.00464690,0.06951182
914.99482980,0.06796608
920.00175829,0.06667470
925.00868677,0.06423672
929.99886967,0.06187995
935.00579816,0.05664692
939.99598106,0.05094234
945.00290954,0.04515558
950.00983803,0.04188115
955.00002093,0.03842181
960.00694942,0.03646909
964.99713232,0.03482062
970.00406080,0.03313987
974.99424371,0.03255288
980.00117219,0.03058058
985.00810067,0.02845274
989.99828358,0.02645501
995.00521206,0.02434184
999.99539497,0.02173951
1005.00232345,0.01937100
1010.00925193,0.01745839
1014.99943484,0.01544892
1020.00636332,0.01358131
1024.99654622,0.01238776
1030.00347471,0.01104844
1034.99365761,0.00972575
1040.00058610,0.00852438
1045.00751458,0.00700505
1049.99769748,0.00578606
1055.00462597,0.00540354
1059.99480887,0.00443794
1065.00173735,0.00429804
1070.00866584,0.00331091
1074.99884874,0.00285012
1080.00577723,0.00257717
1084.99596013,0.00260359
1090.00288861,0.00227194
1095.00981710,0.00215747
1100.00000000,0.00158907
