# wavelength [nm], spectral response [A / W]
300.00000000,0.00078783
305.00023025,0.00209682
310.00046050,0.00298611
315.00069076,0.00210269
320.00092101,-0.00018854
325.00115126,0.00530864
329.99970695,0.00271512
334.99993720,0.00416988
340.00016746,0.00233357
345.00039771,0.00714788
350.00062796,0.00965433
355.00085821,0.01754350
360.00108846,0.02715158
364.99964416,0.03630571
369.99987441,0.05662834
375.00010466,0.07238808
380.00033491,0.08357027
385.00056516,0.10012343
390.00079542,0.10599335
395.00102567,0.11208828
400.00125592,0.11851584
404.99981161,0.12779030
409.99836731,0.13336672
415.00529579,0.13825832
419.99547869,0.13928555
425.00240718,0.14175092
429.99259008,0.14175092
434.99951856,0.14835457
440.00644705,0.15533977
444.99662995,0.15543761
450.00355844,0.16497622
454.99374134,0.16659045
460.00066982,0.16859600
465.00759831,0.16786226
469.99778121,0.17165814
475.00470969,0.16734375
479.99489260,0.17531705
485.00182108,0.17584535
490.00874957,0.17253863
494.99893247,0.17728348
500.00586095,0.18659707
504.99604386,0.19258439
510.00297234,0.18921897
514.99315524,0.19102886
520.00008373,0.19944241
525.00701221,0.19365076
529.99719512,0.19184087
535.00412360,0.19550956
539.99430650,0.20318937
545.00123499,0.21075178
550.00816347,0.19988265
554.99834637,0.19861084
560.00527486,0.21326606
564.99545776,0.22167960
570.00238625,0.21601514
575.00931473,0.21624015
579.99949763,0.21925337
585.00642612,0.23114974
589.99660902,0.23628591
595.00353750,0.22770605
599.99372041,0.21460636
605.00064889,0.21303126
610.00757738,0.22689405
614.99776028,0.23473038
620.00468876,0.22645380
624.99487167,0.21638690
630.00180015,0.21797177
635.00872863,0.22123936
639.99891154,0.22783323
645.00584002,0.24065900
649.99602292,0.25057916
655.00295141,0.24681263
659.99313431,0.23548369
665.00006280,0.23208892
670.00699128,0.23786101
674.99717418,0.24759528
680.00410267,0.24657783
684.99428557,0.23643266
690.00121405,0.22696253
695.00814254,0.22695275
699.99832544,0.22974096
705.00525393,0.23154106
709.99543683,0.23852626
715.00236531,0.24859317
720.00929380,0.25025631
724.99947670,0.24065900
730.00640518,0.22612117
734.99658809,0.22246226
740.00351657,0.22800933
744.99369948,0.23492605
750.00062796,0.24748767
755.00755644,0.24742897
759.99773935,0.24345699
765.00466783,0.23262700
769.99485073,0.22429172
775.00177922,0.21760980
780.00870770,0.21805982
784.99889061,0.21775654
790.00581909,0.21863703
794.99600199,0.21949795
800.00293048,0.21966427
804.99311338,0.22074042
810.00004186,0.21589774
815.00697035,0.20473511
819.99715325,0.19166477
825.00408174,0.18097174
829.99426464,0.17696063
835.00119312,0.17786068
840.00812161,0.17848681
844.99830451,0.18638184
850.00523299,0.18547201
854.99541590,0.18195006
860.00234438,0.17192229
865.00927287,0.15939002
869.99945577,0.15043839
875.00638425,0.14396192
879.99656716,0.13872791
885.00349564,0.13615493
889.99367854,0.13664409
895.00060703,0.13429613
900.00753551,0.12234106
904.99771841,0.12079532
910.00464690,0.11913218
914.99482980,0.11650050
920.00175829,0.11165782
925.00868677,0.10690319
929.99886967,0.10070064
935.00579816,0.09307953
939.99598106,0.08534103
945.00290954,0.07997984
950.00983803,0.07635027
955.00002093,0.07265223
960.00694942,0.06993250
964.99713232,0.06661600
970.00406080,0.06391192
974.99424371,0.06098088
980.00117219,0.05628690
985.00810067,0.05150292
989.99828358,0.04625228
995.00521206,0.04141645
999.99539497,0.03700227
1005.00232345,0.03346369
1010.00925193,0.03073027
1014.99943484,0.02813381
1020.00636332,0.02571051
1024.99654622,0.02305144
1030.00347471,0.02074554
1034.99365761,0.01852769
1040.00058610,0.01616211
1045.00751458,0.01452343
1049.99769748,0.01260592
1055.00462597,0.01084299
1059.99480887,0.00936964
1065.00173735,0.00835708
1070.00866584,0.00710777
1074.99884874,0.00608836
1080.00577723,0.00560996
1084.99596013,0.00478133
1090.00288861,0.00416498
1095.00981710,0.00370909
1100.00000000,0.00327374
