# wavelength [nm], Transmissivity
300.00000000,0.00012116
305.00000000,0.00012116
310.00000000,0.00012116
315.00000000,0.00012116
320.00000000,0.00012116
325.00000000,0.00012116
330.00000000,0.00012116
335.00000000,0.00010469
340.00000000,0.00016710
345.00000000,0.00014846
350.00000000,0.00021624
355.00000000,0.00061344
360.00000000,0.00066469
365.00000000,0.00084750
370.00000000,0.00143060
375.00000000,0.00249737
380.00000000,0.00770128
385.00000000,0.06583488
390.00000000,0.47838843
395.00000000,0.85775351
400.00000000,0.88716987
405.00000000,0.89352759
410.00000000,0.92190980
415.00000000,0.91080509
420.00000000,0.92565697
425.00000000,0.93987644
430.00000000,0.93776462
435.00000000,0.92859350
440.00000000,0.98727175
445.00000000,0.99211391
450.00000000,0.97981613
455.00000000,0.99481311
460.00000000,1.00162392
465.00000000,0.99131430
470.00000000,0.97688904
475.00000000,0.97668709
480.00000000,0.98299922
485.00000000,0.97555488
490.00000000,0.96658019
495.00000000,0.97723255
500.00000000,0.97652978
505.00000000,0.97509926
510.00000000,0.94645180
515.00000000,0.99984234
520.00000000,0.98883526
525.00000000,0.99419447
530.00000000,1.00488438
535.00000000,1.00380786
540.00000000,0.99364172
545.00000000,0.99741343
550.00000000,1.00097508
555.00000000,1.00055093
560.00000000,0.99983191
565.00000000,1.00001923
570.00000000,1.00001165
575.00000000,1.00000072
580.00000000,0.99999902
585.00000000,0.99999990
590.00000000,1.00000007
595.00000000,0.99999996
600.00000000,1.00000001
605.00000000,1.00000000
610.00000000,1.00000000
615.00000000,1.00000000
620.00000000,1.00000000
625.00000000,1.00000000
630.00000000,1.00000000
635.00000000,1.00000000
640.00000000,1.00000000
645.00000000,1.00000000
650.00000000,1.00000002
655.00000000,0.99999994
660.00000000,1.00000008
665.00000000,1.00000133
670.00000000,0.99998958
675.00000000,1.00002828
680.00000000,1.00013667
685.00000000,0.98501062
690.00000000,0.89460703
695.00000000,0.63710188
700.00000000,0.32213583
705.00000000,0.14311053
710.00000000,0.06343784
715.00000000,0.03316929
720.00000000,0.01801514
725.00000000,0.01087921
730.00000000,0.00635675
735.00000000,0.00390407
740.00000000,0.00239514
745.00000000,0.00156933
750.00000000,0.00114555
755.00000000,0.00090341
760.00000000,0.00078310
765.00000000,0.00069770
770.00000000,0.00065875
775.00000000,0.00065336
780.00000000,0.00062428
785.00000000,0.00064786
790.00000000,0.00063455
795.00000000,0.00057785
800.00000000,0.00051307
805.00000000,0.00047557
810.00000000,0.00047103
815.00000000,0.00051722
820.00000000,0.00047621
825.00000000,0.00047220
830.00000000,0.00048470
835.00000000,0.00052810
840.00000000,0.00053359
845.00000000,0.00060634
850.00000000,0.00062899
855.00000000,0.00056340
860.00000000,0.00054253
865.00000000,0.00044752
870.00000000,0.00043252
875.00000000,0.00043914
880.00000000,0.00038928
885.00000000,0.00041438
890.00000000,0.00042780
895.00000000,0.00042135
900.00000000,0.00041063
905.00000000,0.00040634
910.00000000,0.00040277
915.00000000,0.00038052
920.00000000,0.00044929
925.00000000,0.00048563
930.00000000,0.00064863
935.00000000,0.00131105
940.00000000,0.00841463
945.00000000,0.00702929
950.00000000,0.00203776
955.00000000,0.00115986
960.00000000,0.00091631
965.00000000,0.00094403
970.00000000,0.00078251
975.00000000,0.00092487
980.00000000,0.00104063
985.00000000,0.00027268
990.00000000,0.00184052
995.00000000,0.00333242
1000.00000000,0.00636399
1005.00000000,0.01145635
1010.00000000,0.01086394
1015.00000000,0.00689314
1020.00000000,0.00474363
1025.00000000,0.00438735
1030.00000000,0.00406522
1035.00000000,0.00374254
1040.00000000,0.00334264
1045.00000000,0.00390802
1050.00000000,0.00458990
1055.00000000,0.00700912
1060.00000000,0.00940055
1065.00000000,0.01097887
1070.00000000,0.01643157
1075.00000000,0.02286540
1080.00000000,0.03589049
1085.00000000,0.04494363
1090.00000000,0.04653512
1095.00000000,0.04207639
1100.00000000,0.03906014
