# wavelength [nm], Transmissivity
300.00000000,0.00009781
305.00000000,0.00009781
310.00000000,0.00009781
315.00000000,0.00009781
320.00000000,0.00009781
325.00000000,0.00009781
330.00000000,0.00009781
335.00000000,0.00009781
340.00000000,0.00016018
345.00000000,0.00039199
350.00000000,0.00172978
355.00000000,0.00449172
360.00000000,0.00128405
365.00000000,0.00103261
370.00000000,0.00124971
375.00000000,0.00222895
380.00000000,0.00857840
385.00000000,0.01193060
390.00000000,0.43898540
395.00000000,0.89983666
400.00000000,0.95792060
405.00000000,0.96918119
410.00000000,0.97916295
415.00000000,0.98824780
420.00000000,0.99118202
425.00000000,0.99939818
430.00000000,1.00002402
435.00000000,1.00000069
440.00000000,0.99999913
445.00000000,1.00000018
450.00000000,0.99999999
455.00000000,1.00000000
460.00000000,1.00000000
465.00000000,1.00000000
470.00000000,1.00000000
475.00000000,1.00000000
480.00000000,1.00000000
485.00000000,1.00000000
490.00000000,1.00000000
495.00000000,1.00000000
500.00000000,1.00000000
505.00000000,1.00000000
510.00000000,1.00000000
515.00000000,1.00000000
520.00000000,1.00000000
525.00000000,1.00000000
530.00000000,1.00000000
535.00000000,1.00000000
540.00000000,1.00000000
545.00000000,1.00000000
550.00000000,1.00000000
555.00000000,1.00000000
560.00000000,1.00000000
565.00000000,1.00000000
570.00000000,1.00000000
575.00000000,1.00000000
580.00000000,1.00000000
585.00000000,1.00000000
590.00000000,1.00000000
595.00000000,1.00000000
600.00000000,1.00000000
605.00000000,1.00000000
610.00000000,1.00000000
615.00000000,1.00000000
620.00000000,1.00000000
625.00000000,1.00000000
630.00000000,1.00000000
635.00000000,1.00000000
640.00000000,0.99999997
645.00000000,0.99999996
650.00000000,1.00000295
655.00000000,0.99998390
660.00000000,1.00007104
665.00000000,0.99991254
670.00000000,0.97453597
675.00000000,0.81519181
680.00000000,0.55504631
685.00000000,0.36111776
690.00000000,0.24894809
695.00000000,0.17338528
700.00000000,0.11969865
705.00000000,0.07764171
710.00000000,0.04599032
715.00000000,0.02962694
720.00000000,0.01968601
725.00000000,0.01515237
730.00000000,0.01286734
735.00000000,0.01198733
740.00000000,0.01147955
745.00000000,0.01031182
750.00000000,0.00837453
755.00000000,0.00610097
760.00000000,0.00450718
765.00000000,0.00342922
770.00000000,0.00287237
775.00000000,0.00262289
780.00000000,0.00257004
785.00000000,0.00283816
790.00000000,0.00329574
795.00000000,0.00414648
800.00000000,0.00480510
805.00000000,0.00443008
810.00000000,0.00342825
815.00000000,0.00259067
820.00000000,0.00204707
825.00000000,0.00178420
830.00000000,0.00164674
835.00000000,0.00170186
840.00000000,0.00185657
845.00000000,0.00228981
850.00000000,0.00328288
855.00000000,0.00613309
860.00000000,0.01292433
865.00000000,0.01117994
870.00000000,0.00523922
875.00000000,0.00289454
880.00000000,0.00186541
885.00000000,0.00154766
890.00000000,0.00133610
895.00000000,0.00126440
900.00000000,0.00123148
905.00000000,0.00128290
910.00000000,0.00140529
915.00000000,0.00163079
920.00000000,0.00214396
925.00000000,0.00316818
930.00000000,0.00565453
935.00000000,0.00925983
940.00000000,0.00912443
945.00000000,0.00576484
950.00000000,0.00356309
955.00000000,0.00254358
960.00000000,0.00203423
965.00000000,0.00192138
970.00000000,0.00175572
975.00000000,0.00173280
980.00000000,0.00178832
985.00000000,0.00182504
990.00000000,0.00204610
995.00000000,0.00232622
1000.00000000,0.00256713
1005.00000000,0.00298129
1010.00000000,0.00387842
1015.00000000,0.00473675
1020.00000000,0.00584866
1025.00000000,0.00755299
1030.00000000,0.01021918
1035.00000000,0.01222874
1040.00000000,0.01348331
1045.00000000,0.01370321
1050.00000000,0.01346609
1055.00000000,0.01358932
1060.00000000,0.01372690
1065.00000000,0.01507130
1070.00000000,0.01507613
1075.00000000,0.01737260
1080.00000000,0.01892038
1085.00000000,0.02055017
1090.00000000,0.02449350
1095.00000000,0.02987495
1100.00000000,0.03400316
