# wavelength [nm], Hayda Transmissivity, Hoya Transmissivity, UQG Transmissivity
300.00000000,0.00012116,0.00009781,0.00010753
305.00000000,0.00012116,0.00009781,0.00010753
310.00000000,0.00012116,0.00009781,0.00010753
315.00000000,0.00012116,0.00009781,0.00010753
320.00000000,0.00012116,0.00009781,0.00010753
325.00000000,0.00012116,0.00009781,0.00010753
330.00000000,0.00012116,0.00009781,0.00010753
335.00000000,0.00010469,0.00009781,0.00011334
340.00000000,0.00016710,0.00016018,0.00009421
345.00000000,0.00014846,0.00039199,0.00014706
350.00000000,0.00021624,0.00172978,0.00005119
355.00000000,0.00061344,0.00449172,0.00059754
360.00000000,0.00066469,0.00128405,0.00053403
365.00000000,0.00084750,0.00103261,0.00078923
370.00000000,0.00143060,0.00124971,0.00114509
375.00000000,0.00249737,0.00222895,0.00256784
380.00000000,0.00770128,0.00857840,0.00793080
385.00000000,0.06583488,0.01193060,0.06200049
390.00000000,0.47838843,0.43898540,0.42204852
395.00000000,0.85775351,0.89983666,0.81100597
400.00000000,0.88716987,0.95792060,0.87518443
405.00000000,0.89352759,0.96918119,0.86164711
410.00000000,0.92190980,0.97916295,0.90598481
415.00000000,0.91080509,0.98824780,0.92768652
420.00000000,0.92565697,0.99118202,0.94363407
425.00000000,0.93987644,0.99939818,0.96306182
430.00000000,0.93776462,1.00002402,0.97000085
435.00000000,0.92859350,1.00000069,0.96364010
440.00000000,0.98727175,0.99999913,0.97255239
445.00000000,0.99211391,1.00000018,0.97646313
450.00000000,0.97981613,0.99999999,0.98389499
455.00000000,0.99481311,1.00000000,0.98527512
460.00000000,1.00162392,1.00000000,0.98888006
465.00000000,0.99131430,1.00000000,0.98583307
470.00000000,0.97688904,1.00000000,0.97649382
475.00000000,0.97668709,1.00000000,0.99398733
480.00000000,0.98299922,1.00000000,0.98999338
485.00000000,0.97555488,1.00000000,0.98809640
490.00000000,0.96658019,1.00000000,0.99497187
495.00000000,0.97723255,1.00000000,0.98436589
500.00000000,0.97652978,1.00000000,0.99734180
505.00000000,0.97509926,1.00000000,0.99583666
510.00000000,0.94645180,1.00000000,0.99220482
