# wavelength [nm], r, g, b
390.00000000,7.41723370,2.20204236,16.08370784
395.00000000,6.86859909,2.12325830,19.62940070
400.00000000,6.22634538,1.98880225,23.68651248
405.00000000,5.49842523,1.90087970,27.43748272
410.00000000,4.90459866,1.83272783,30.56517271
415.00000000,4.28507683,1.80086861,32.67537708
420.00000000,3.75370130,1.82068088,34.44849832
425.00000000,3.32091685,1.88374224,36.74085501
430.00000000,2.96799147,2.00280794,39.12981428
435.00000000,2.72934322,2.17611100,41.52127347
440.00000000,2.46012212,2.37634075,43.70408727
445.00000000,2.14787862,2.55650443,44.92514463
450.00000000,1.95914823,2.84706505,45.74548935
455.00000000,1.81711969,3.38966882,46.25094296
460.00000000,1.73318552,4.24189019,46.31692347
465.00000000,1.74420532,5.59699228,46.04781591
470.00000000,1.79926855,7.07133601,45.20082303
475.00000000,1.83918311,8.45625907,43.05499835
480.00000000,1.85726345,9.68934940,40.13120575
485.00000000,1.84139461,10.75897025,36.78116619
490.00000000,1.84203310,11.92723977,32.68457828
495.00000000,1.86848433,14.91044994,28.80069029
500.00000000,2.00400194,19.23759713,24.88310379
505.00000000,2.27943071,25.10740873,20.95791062
510.00000000,2.69285241,32.70532124,17.38470268
515.00000000,3.25374587,39.95285945,14.08872730
520.00000000,4.10052543,47.45789499,11.33835850
525.00000000,4.77036123,52.89722212,9.54243148
530.00000000,5.16293293,57.51851930,8.19615560
535.00000000,5.11410525,60.15347376,7.27217776
540.00000000,4.87124417,61.41551261,6.72089826
545.00000000,4.59574414,61.38204922,6.06785777
550.00000000,4.41108099,60.44074651,5.44113806
555.00000000,4.36506514,58.59892160,4.88607513
560.00000000,4.79781765,56.14789809,4.48933889
565.00000000,5.49936141,53.39437661,4.21178602
570.00000000,7.75637381,50.40983986,4.07614335
575.00000000,14.73834965,47.33510907,4.10462370
580.00000000,24.83739919,44.03446327,4.22173695
585.00000000,38.52434644,40.76755036,4.37073191
590.00000000,49.18848327,37.07563841,4.43957799
595.00000000,54.88668913,32.48744076,4.36058197
600.00000000,57.64681321,27.85211837,4.17619643
605.00000000,57.13196867,23.00160932,3.91207261
610.00000000,55.85856462,18.63417742,3.61876006
615.00000000,53.84088977,14.96157866,3.34033899
620.00000000,51.75282921,11.70200965,3.11649592
625.00000000,49.64302824,9.55876339,2.97718650
630.00000000,47.52128970,8.12349556,2.89175153
635.00000000,45.46148553,7.02572078,2.87452648
640.00000000,43.56313882,6.31841488,2.92004555
645.00000000,42.12508036,5.81075022,3.02853230
650.00000000,40.94067437,5.48243606,3.16985925
655.00000000,40.02615472,5.28186961,3.36735394
660.00000000,39.28030933,5.21717700,3.55709289
665.00000000,38.26881774,5.27704795,3.74468429
670.00000000,37.13362255,5.51478227,3.92756380
675.00000000,35.87890559,5.94636036,4.06969256
680.00000000,34.48783268,6.52353899,4.19261144
685.00000000,33.06842272,7.23491775,4.31145840
690.00000000,31.63962076,8.01108181,4.43715632
695.00000000,30.25608386,8.81298811,4.55954471
700.00000000,29.00456846,9.51289702,4.64541656
705.00000000,27.87177390,10.03045457,4.67629720
710.00000000,26.87392817,10.37279248,4.61415812
715.00000000,25.94525239,10.50265463,4.50940440
720.00000000,25.33703711,10.50838824,4.39548811
725.00000000,24.85308959,10.43634692,4.30339333
730.00000000,24.61307480,10.40829222,4.25368438
735.00000000,24.74996936,10.50936929,4.31617695
740.00000000,25.06270266,10.79633737,4.45455839
745.00000000,25.47538461,11.31109347,4.65501321
750.00000000,25.87729701,12.05244071,4.92013320
755.00000000,26.20830557,12.96268210,5.23440766
760.00000000,26.39214430,13.95524554,5.60753293
765.00000000,26.35558279,14.88608644,6.07035117
770.00000000,26.05236058,15.66842095,6.61468969
775.00000000,25.40124006,16.23048535,7.23413211
780.00000000,24.48406011,16.58744132,8.41316922
785.00000000,23.61532752,16.77797769,10.01444795
790.00000000,22.87276634,16.87887817,12.23138914
795.00000000,22.40531874,17.02160000,14.92050172
800.00000000,21.99238990,17.17581945,17.17518975
805.00000000,21.72264950,17.31868684,18.88820741
810.00000000,21.47368645,17.58009288,20.07506070
815.00000000,21.17311533,17.84539607,20.52969107
820.00000000,20.79121972,18.08116099,20.69430296
825.00000000,20.23078083,18.26391333,20.77499879
830.00000000,19.52895629,18.31063717,20.73224675
835.00000000,18.85402611,18.14837181,20.57346558
840.00000000,18.26459876,17.82967557,20.24093030
845.00000000,17.66561872,17.35713131,19.61279793
850.00000000,17.06375251,16.83368076,18.80210468
855.00000000,16.63865472,16.33449442,17.98900124
860.00000000,16.25394279,15.87181988,17.30592964
865.00000000,15.94312061,15.48451356,16.74023270
870.00000000,15.48958983,15.11880654,16.17817827
875.00000000,14.87145257,14.69654460,15.67695606
880.00000000,14.21769259,14.18629256,15.15751492
885.00000000,13.46360152,13.57031037,14.56215703
890.00000000,12.60107683,12.86522634,13.81585622
