# wavelength [nm], r, g, b
300.00000000,0.01458213,0.02062437,0.01222829
305.00000000,0.01512020,0.02172400,0.01320661
310.00000000,0.01651235,0.02380929,0.01471812
315.00000000,0.01101518,0.01561978,0.00942052
320.00000000,0.00974043,0.01357851,0.00824947
325.00000000,0.01156597,0.01624345,0.01019926
330.00000000,0.01000751,0.01385000,0.00870145
335.00000000,0.00933834,0.01294016,0.00816631
340.00000000,0.00345962,0.00429426,0.00246271
345.00000000,0.00541919,0.00632525,0.00365039
350.00000000,0.00694243,0.00701595,0.00392823
355.00000000,0.00769965,0.00587718,0.00290393
360.00000000,0.01146325,0.00854115,0.00436261
365.00000000,0.01323400,0.00730602,0.00330700
370.00000000,0.01772743,0.01031875,0.00572051
375.00000000,0.02035323,0.00944316,0.00739540
380.00000000,0.02692754,0.01467717,0.01639104
385.00000000,0.02681308,0.01202837,0.02458153
390.00000000,0.02813576,0.01544515,0.04057216
395.00000000,0.02469404,0.01375755,0.05526456
400.00000000,0.02275012,0.01562027,0.07048036
405.00000000,0.01901881,0.01552684,0.08096794
410.00000000,0.01634506,0.01710976,0.08970433
415.00000000,0.01314498,0.01748054,0.09584818
420.00000000,0.00949780,0.01653989,0.09789286
425.00000000,0.00729854,0.01644352,0.10711842
430.00000000,0.00458468,0.01511986,0.11440689
435.00000000,0.00585454,0.02045854,0.12319220
440.00000000,0.00376387,0.02230268,0.12736962
445.00000000,0.00572834,0.03128267,0.13622341
450.00000000,0.00305166,0.03299081,0.13554837
455.00000000,0.00321895,0.03746271,0.14199550
460.00000000,0.00290295,0.03891845,0.14450000
465.00000000,0.00095414,0.03797877,0.13862030
470.00000000,0.00465708,0.05196336,0.14656425
475.00000000,0.00441837,0.06571217,0.14351189
480.00000000,0.00176615,0.07721085,0.13506900
485.00000000,0.00383725,0.09967159,0.13038285
490.00000000,0.00598172,0.12750282,0.12888602
495.00000000,0.00596901,0.14912856,0.11651028
500.00000000,0.00269066,0.15990964,0.09929186
505.00000000,0.00627718,0.18726834,0.09076092
510.00000000,0.00722028,0.20959359,0.08092881
515.00000000,0.00764487,0.22445426,0.06571888
520.00000000,0.00848720,0.22736476,0.05101767
525.00000000,0.01171761,0.24642731,0.04255423
530.00000000,0.01300801,0.26261849,0.03711282
535.00000000,0.01159532,0.26345007,0.03150216
540.00000000,0.01063070,0.25528110,0.02748910
545.00000000,0.00986565,0.25459138,0.02424499
550.00000000,0.01139476,0.26547029,0.02302209
555.00000000,0.01145346,0.25301140,0.01958232
560.00000000,0.01198665,0.23498097,0.01663953
565.00000000,0.01219503,0.21880446,0.01398242
570.00000000,0.01615820,0.21047897,0.01378773
575.00000000,0.03063146,0.20210945,0.01325161
580.00000000,0.07117496,0.18278275,0.01302660
585.00000000,0.11351662,0.15530665,0.01182718
590.00000000,0.13838550,0.13623432,0.01279083
595.00000000,0.15909652,0.11649183,0.01192501
600.00000000,0.18343710,0.09909096,0.01161586
605.00000000,0.19136149,0.08060757,0.01067863
610.00000000,0.18487523,0.06268476,0.00902625
615.00000000,0.18386756,0.05151187,0.00861634
620.00000000,0.18136307,0.04519730,0.00835806
625.00000000,0.18617640,0.04218946,0.00799315
630.00000000,0.19687921,0.04409865,0.01009262
635.00000000,0.19523563,0.04224816,0.01014936
640.00000000,0.18383821,0.04047447,0.01103083
645.00000000,0.17649104,0.03990313,0.01267147
650.00000000,0.17464201,0.03942277,0.01374762
655.00000000,0.17527792,0.04146404,0.01577666
660.00000000,0.17904445,0.04516551,0.01814125
665.00000000,0.18006190,0.04893546,0.01978679
670.00000000,0.16827315,0.04941973,0.01882510
675.00000000,0.15197436,0.05174226,0.01889847
680.00000000,0.14477393,0.05619557,0.01952068
685.00000000,0.14936224,0.06378733,0.02082576
690.00000000,0.16036833,0.07634846,0.02422640
695.00000000,0.16752963,0.08732960,0.02607445
700.00000000,0.17250928,0.09971072,0.02924224
705.00000000,0.17356586,0.10599936,0.02990261
710.00000000,0.16820467,0.10522159,0.02829132
715.00000000,0.16277500,0.10406229,0.02785010
720.00000000,0.15976178,0.10011917,0.02516461
725.00000000,0.16421313,0.10224750,0.02542386
730.00000000,0.17247993,0.10843537,0.02682873
735.00000000,0.18049236,0.11765603,0.02910234
