# wavelength [nm], r, g, b
280.00000000,0.00064302,0.00158263,0.00447835
285.00000000,0.00084706,0.00139517,0.00396585
290.00000000,0.00109909,0.00135473,0.00387451
295.00000000,0.00136246,0.00143280,0.00410325
300.00000000,0.00160055,0.00160083,0.00455095
305.00000000,0.00177672,0.00183029,0.00511651
310.00000000,0.00185434,0.00209266,0.00569884
315.00000000,0.00179676,0.00235939,0.00619684
320.00000000,0.00156751,0.00260196,0.00650940
325.00000000,0.00121709,0.00282205,0.00657454
330.00000000,0.00103209,0.00312342,0.00649589
335.00000000,0.00133870,0.00363140,0.00642089
340.00000000,0.00246315,0.00447135,0.00649697
345.00000000,0.00476467,0.00584404,0.00684711
350.00000000,0.00876810,0.00832859,0.00747157
355.00000000,0.01505000,0.01262235,0.00833229
360.00000000,0.02418663,0.01942270,0.00939118
365.00000000,0.03620426,0.02903805,0.01144911
370.00000000,0.04946769,0.04030789,0.01927647
375.00000000,0.06202916,0.05172512,0.03881656
380.00000000,0.07194095,0.06178265,0.07601267
385.00000000,0.07767314,0.06926117,0.13369865
390.00000000,0.07956247,0.07396789,0.20361836
395.00000000,0.07846676,0.07593877,0.27504427
400.00000000,0.07524385,0.07520975,0.33724945
405.00000000,0.07063417,0.07204714,0.38309699
410.00000000,0.06488275,0.06768912,0.41754710
415.00000000,0.05810403,0.06363015,0.44810537
420.00000000,0.05041282,0.06136433,0.48227737
425.00000000,0.04208672,0.06147152,0.52582239
430.00000000,0.03382007,0.06162005,0.57754198
435.00000000,0.02637293,0.05889997,0.63450506
440.00000000,0.02050537,0.05040130,0.69378058
445.00000000,0.01681554,0.03601350,0.75237208
450.00000000,0.01513827,0.02615983,0.80697473
455.00000000,0.01508359,0.03374086,0.85419293
460.00000000,0.01626151,0.07165138,0.89063104
465.00000000,0.01836024,0.14749711,0.91289342
470.00000000,0.02141630,0.25382135,0.91758446
475.00000000,0.02556307,0.38050392,0.90130851
480.00000000,0.03093393,0.51742456,0.86067072
485.00000000,0.03754446,0.65444015,0.79681426
490.00000000,0.04491484,0.78134586,0.72611583
495.00000000,0.05243510,0.88792659,0.66132702
500.00000000,0.05949526,0.96396725,0.59526152
505.00000000,0.06566991,1.00301657,0.51960526
510.00000000,0.07126643,1.01356800,0.43846774
515.00000000,0.07677408,1.00782371,0.35981639
520.00000000,0.08268210,0.99798586,0.29161977
525.00000000,0.08915958,0.99289626,0.23964699
530.00000000,0.09487123,0.98879553,0.20141901
535.00000000,0.09804024,0.97897099,0.17252374
540.00000000,0.09688979,0.95671011,0.14854907
545.00000000,0.09039144,0.91775516,0.12590351
550.00000000,0.08083743,0.86654379,0.10463638
555.00000000,0.07144061,0.80943807,0.08580642
560.00000000,0.06541387,0.75280008,0.07047239
565.00000000,0.06687270,0.70167614,0.05936879
570.00000000,0.08371453,0.65559984,0.05187143
575.00000000,0.12482710,0.61266115,0.04700032
580.00000000,0.19909816,0.57095003,0.04377547
585.00000000,0.30939894,0.52861140,0.04132971
590.00000000,0.43479348,0.48422570,0.03924221
595.00000000,0.54845802,0.43658083,0.03720254
600.00000000,0.62356892,0.38448081,0.03490026
605.00000000,0.64206429,0.32856714,0.03215664
610.00000000,0.61862632,0.27306948,0.02928513
615.00000000,0.57558482,0.22263252,0.02671413
620.00000000,0.53526154,0.18189877,0.02487134
625.00000000,0.51294532,0.15362139,0.02402052
630.00000000,0.50402974,0.13520882,0.02405125
635.00000000,0.50041493,0.12313101,0.02480119
640.00000000,0.49400102,0.11385808,0.02610799
645.00000000,0.47833208,0.10479935,0.02782918
650.00000000,0.45556205,0.09649675,0.02990527
655.00000000,0.43065397,0.09014453,0.03229846
660.00000000,0.40857245,0.08693695,0.03497093
665.00000000,0.39285250,0.08766289,0.03783906
670.00000000,0.38139172,0.09151287,0.04063863
675.00000000,0.37069832,0.09728340,0.04306092
680.00000000,0.35728054,0.10377103,0.04479718
685.00000000,0.33899287,0.11003790,0.04565470
690.00000000,0.31870386,0.11613526,0.04587284
695.00000000,0.30044910,0.12234463,0.04579152
700.00000000,0.28826417,0.12894707,0.04575064
705.00000000,0.28490789,0.13586058,0.04596946
710.00000000,0.28751322,0.14197956,0.04624276
715.00000000,0.29166405,0.14601926,0.04627202
720.00000000,0.29294422,0.14669510,0.04575873
725.00000000,0.28810718,0.14343727,0.04454807
730.00000000,0.27877333,0.13805198,0.04308321
735.00000000,0.26782882,0.13283846,0.04196286
740.00000000,0.25815979,0.13009599,0.04178569
745.00000000,0.25203028,0.13139984,0.04297785
750.00000000,0.24863992,0.13548031,0.04511556
755.00000000,0.24624637,0.14036890,0.04751377
760.00000000,0.24310704,0.14409760,0.04948735
765.00000000,0.23786063,0.14534904,0.05059721
770.00000000,0.23091891,0.14473867,0.05184199
775.00000000,0.22320869,0.14323924,0.05474117
780.00000000,0.21565685,0.14182346,0.06081492
785.00000000,0.20919026,0.14146406,0.07158343
790.00000000,0.20473578,0.14313377,0.08856688
795.00000000,0.20322028,0.14780533,0.11328547
800.00000000,0.20557064,0.15645144,0.13965119
