# wavelength [nm], r, g, b
400.00000000,0.06895033,0.05623723,0.42135740
405.00000000,0.06458027,0.05305939,0.45676958
410.00000000,0.05485840,0.04503036,0.49010704
415.00000000,0.04641668,0.03825963,0.51368363
420.00000000,0.04075800,0.03340592,0.53257347
425.00000000,0.03301406,0.03063343,0.55347463
430.00000000,0.02388717,0.03045031,0.57740028
435.00000000,0.02308130,0.03190643,0.59829625
440.00000000,0.02149648,0.03352501,0.61415379
445.00000000,0.01945291,0.03600753,0.63100258
450.00000000,0.01752881,0.03964970,0.64595815
455.00000000,0.01677327,0.05099138,0.65158991
460.00000000,0.01674391,0.07939109,0.65228735
465.00000000,0.01780993,0.14411636,0.65074894
470.00000000,0.01953439,0.23746910,0.64005896
475.00000000,0.02074280,0.35299100,0.61987440
480.00000000,0.02148873,0.47697633,0.59168178
485.00000000,0.02256136,0.60616143,0.55825841
490.00000000,0.02372030,0.68515976,0.50713721
495.00000000,0.02491431,0.74392702,0.45095650
500.00000000,0.02776694,0.78748283,0.39701480
505.00000000,0.03237263,0.81652359,0.34164055
510.00000000,0.03981779,0.84171098,0.28748599
515.00000000,0.04844499,0.85905618,0.24153313
520.00000000,0.05540862,0.87257363,0.20012710
525.00000000,0.05883471,0.88188054,0.16546819
530.00000000,0.05812018,0.88840164,0.14170297
535.00000000,0.05287369,0.89156907,0.11998117
540.00000000,0.04522075,0.89251816,0.10295396
545.00000000,0.03827753,0.89083162,0.08595145
550.00000000,0.03361875,0.88470680,0.07081741
555.00000000,0.03301570,0.86777660,0.05729992
560.00000000,0.03597064,0.85137612,0.04843097
565.00000000,0.06814109,0.83086609,0.04015802
570.00000000,0.16089710,0.80545061,0.03454419
575.00000000,0.30520997,0.77774632,0.03131759
580.00000000,0.47439024,0.74060458,0.02858426
585.00000000,0.64731337,0.69942971,0.02639770
590.00000000,0.79182272,0.64010430,0.02468705
595.00000000,0.89177664,0.57737582,0.02325619
600.00000000,0.93740055,0.50291987,0.02177168
605.00000000,0.95940797,0.43152349,0.02043744
610.00000000,0.96884463,0.36709528,0.01941341
615.00000000,0.97332905,0.31256143,0.01937777
620.00000000,0.97438082,0.27234833,0.02098400
625.00000000,0.97585789,0.24243195,0.02369218
630.00000000,0.97964015,0.21975474,0.02711269
635.00000000,0.98281729,0.20198971,0.03201288
640.00000000,0.98641157,0.19067098,0.03820767
645.00000000,0.98795836,0.18259330,0.04509910
650.00000000,0.99142702,0.17649390,0.05318566
655.00000000,0.98993042,0.17645256,0.06194300
660.00000000,0.98348291,0.18235653,0.07003979
665.00000000,0.97286172,0.19348950,0.07703693
670.00000000,0.95317618,0.21631689,0.08375568
675.00000000,0.93134996,0.24334719,0.08902488
680.00000000,0.90834489,0.27018852,0.09366190
685.00000000,0.89043527,0.30492755,0.09802368
690.00000000,0.88498895,0.33823985,0.10259611
695.00000000,0.88678626,0.37591436,0.10575051
700.00000000,0.89596719,0.40449293,0.10750872
705.00000000,0.91584968,0.42766031,0.10620209
710.00000000,0.93858101,0.44227209,0.10211874
715.00000000,0.95965164,0.44764050,0.09709651
720.00000000,0.97973057,0.44727108,0.09123412
725.00000000,0.99301032,0.44548690,0.08650815
730.00000000,1.00037013,0.44889806,0.08437668
735.00000000,1.00054992,0.45674586,0.08379218
740.00000000,0.99130210,0.47130476,0.08564389
745.00000000,0.97920257,0.49171786,0.08786510
750.00000000,0.96503232,0.51527873,0.09197458
755.00000000,0.95134746,0.53575057,0.09832067
760.00000000,0.94525919,0.55683421,0.10598746
765.00000000,0.93716848,0.57520032,0.12096121
770.00000000,0.93155364,0.59340308,0.14640725
775.00000000,0.92855338,0.61571953,0.19111929
780.00000000,0.92676968,0.64090228,0.25310896
785.00000000,0.92483983,0.66708621,0.33717626
790.00000000,0.92303215,0.69512152,0.43426247
795.00000000,0.91927609,0.71932330,0.52744215
800.00000000,0.91087541,0.73997389,0.61445829
805.00000000,0.89389524,0.75272701,0.68346020
810.00000000,0.87589219,0.75931472,0.73932971
815.00000000,0.85781951,0.76052834,0.77454334
820.00000000,0.83872095,0.75803889,0.78858597
825.00000000,0.82257736,0.75474911,0.79775900
830.00000000,0.81056437,0.75310752,0.79534238
835.00000000,0.79456841,0.74946478,0.78666473
840.00000000,0.78642828,0.74736471,0.77639431
845.00000000,0.77725041,0.74574932,0.76830473
850.00000000,0.77085147,0.74538984,0.76229368
855.00000000,0.76430545,0.74331940,0.75545399
860.00000000,0.75784992,0.73998318,0.74936249
865.00000000,0.74966182,0.73378705,0.74172638
870.00000000,0.74003711,0.72482395,0.73658437
875.00000000,0.72521095,0.70858572,0.73576026
880.00000000,0.70861063,0.69268377,0.72416164
885.00000000,0.69136332,0.67530875,0.70991094
890.00000000,0.67458284,0.65765798,0.69650242
895.00000000,0.65791792,0.64000264,0.67800468
