b,,r,,g,
X,Y,X,Y,X,Y
440.2736807604064,0.6970338983050848,440.2736807604064,0.020244821092278764,459.4272369714848,0.06536409290646583
479.70747295968533,0.8637790332705587,460.1783568228996,0.016321406151914575,479.3319130339779,0.498901443816698
489.4720310280782,0.7333254865034526,480.08303288539275,0.031034212178280063,499.98770894788595,0.9638261142498431
500.3632688735933,0.5901208411801632,499.98770894788595,0.05947897049591955,519.892385010379,0.998155994978029
519.892385010379,0.29292215944758326,520.2679449360865,0.08301946013810424,539.7970610728723,0.9579409918392969
540.1726209985796,0.1477558066541118,540.1726209985796,0.09675141242937846,560.0772970610728,0.7519617074701821
560.0772970610728,0.07026836158192085,560.0772970610728,0.06536409290646583,581.1086529006883,0.5616760828625236
579.981973123566,0.043785310734463234,579.981973123566,0.19876020087884494,598.759969408937,0.39787350910232266
599.8866491860592,0.03495762711864403,599.8866491860592,0.622489014438167,619.4157653228449,0.18600910232266155
619.0402053971375,0.02514908976773378,619.4157653228449,0.53911644695543,639.6960013110455,0.11440677966101687
640.0715612367529,0.026129943502824826,640.4471211624603,0.4930163214061518,659.9762372992461,0.08694287507846843
659.9762372992461,0.03495762711864403,659.9762372992461,0.40866290018832396,679.8809133617393,0.10361738857501579
679.8809133617393,0.04476616446955428,679.8809133617393,0.35765850596359083,699.4100294985251,0.1281387319522913
699.7855894242325,0.04574701820464533,700.1611493499399,0.28801789077212825,719.6902654867256,0.14677495291902076
720.0658254124331,0.04574701820464533,720.0658254124331,0.29292215944758326,739.9705014749262,0.1301004394224734
740.3460614006336,0.04182360326428114,740.3460614006336,0.25761142498430645,759.499617611712,0.14383239171374784
760.6262973888342,0.049670433145009296,760.2507374631268,0.24289861895794096,779.7798535999126,0.14187068424356575
779.7798535999126,0.06045982423101082,780.15541352562,0.2154347143753923,800.0600895881131,0.156583490269931
799.6845296624058,0.14481324544883867,800.0600895881131,0.20562617702448205,439.898120834699,0.050651286880100566
419.9934447722058,0.4822269303201506,419.24232492079096,0.05163214061519139,419.6178848464984,0.06144067796610164
399.71320878400525,0.33411801632140614,400.08876870971267,0.07517263025737608,400.08876870971267,0.07517263025737608
379.80853272151205,0.07419177652228504,380.1840926472195,0.07223006905210294,379.80853272151205,0.06144067796610164
360.27941658472633,0.009455430006277465,359.5282967333115,0.023187382297551684,359.9038566590189,0.019263967357187717
340.3747405222331,0.006512868801004323,340.3747405222331,0.002589453860640356,340.3747405222331,0.004551161330822451
320.0945045340326,0.006512868801004323,319.34338468261774,0.0016086001255493088,319.71894460832516,0.002589453860640356
300.0020485086855,0.004551161330822451,300.1898284715394,0.0016086001255493088,300.1898284715394,0.0016086001255493088
279.53403255763135,0.004551161330822451,279.53403255763135,0.0006277463904582614,279.53403255763135,0.0016086001255493088
