# # wavelength [nm], r, g, b
400.00000000,0.07537688,0.06030151,0.41708543
405.00000000,0.06331373,0.05137905,0.45365717
410.00000000,0.05259700,0.04404979,0.48768464
415.00000000,0.04343186,0.03732679,0.51381910
420.00000000,0.03636237,0.03284414,0.53360553
425.00000000,0.03034947,0.03003655,0.55402010
430.00000000,0.02610855,0.02963682,0.57956449
435.00000000,0.02247348,0.03068372,0.60060720
440.00000000,0.02021048,0.03267474,0.61547320
445.00000000,0.01844069,0.03525202,0.63269472
450.00000000,0.01665736,0.03919482,0.64447236
455.00000000,0.01564641,0.05082705,0.64953556
460.00000000,0.01577966,0.08295944,0.65122289
465.00000000,0.01657149,0.14470078,0.64949749
470.00000000,0.01843498,0.24377094,0.63878614
475.00000000,0.01952947,0.36269891,0.61746231
480.00000000,0.02038602,0.48293551,0.59245301
485.00000000,0.02129016,0.59681509,0.55285355
490.00000000,0.02238465,0.68090452,0.50502513
495.00000000,0.02409776,0.74239950,0.44939978
500.00000000,0.02683557,0.78391960,0.39949749
505.00000000,0.03158977,0.81869417,0.34443049
510.00000000,0.03902086,0.84327889,0.28419877
515.00000000,0.04673367,0.85801694,0.24623116
520.00000000,0.05383927,0.87166895,0.20540201
525.00000000,0.05693239,0.88080174,0.16464266
530.00000000,0.05619004,0.88748668,0.14070352
535.00000000,0.05105071,0.89053221,0.12185930
540.00000000,0.04442668,0.89115083,0.10322058
545.00000000,0.03762222,0.88912746,0.08695096
550.00000000,0.03265168,0.88249962,0.07186395
555.00000000,0.03293741,0.87005482,0.05959215
560.00000000,0.03774079,0.85175879,0.04756738
565.00000000,0.07146845,0.83082077,0.03923024
570.00000000,0.16551508,0.80639598,0.03399574
575.00000000,0.31487796,0.77489880,0.03045911
580.00000000,0.48178392,0.73941134,0.02759060
585.00000000,0.66959799,0.69568909,0.02535404
590.00000000,0.80059388,0.64084310,0.02335541
595.00000000,0.88112437,0.58108725,0.02202299
600.00000000,0.93467337,0.50000000,0.02010050
605.00000000,0.95814140,0.43600817,0.01939622
610.00000000,0.96756510,0.36557789,0.01892988
615.00000000,0.97156236,0.31623395,0.01895843
620.00000000,0.97359525,0.27292132,0.02000533
625.00000000,0.97557865,0.24256700,0.02248744
630.00000000,0.97857469,0.22240252,0.02628674
635.00000000,0.98212654,0.20571608,0.03066469
640.00000000,0.98515304,0.19058360,0.03751713
645.00000000,0.98773539,0.18130425,0.04427440
650.00000000,0.99015913,0.17567953,0.05266865
655.00000000,0.98881085,0.17625628,0.06067839
660.00000000,0.98206944,0.18254150,0.06863865
665.00000000,0.97168965,0.19620831,0.07582229
670.00000000,0.95596036,0.21392188,0.08232450
675.00000000,0.93390758,0.24253210,0.08741434
680.00000000,0.90979492,0.27275265,0.09274593
685.00000000,0.89184493,0.30802450,0.09679077
690.00000000,0.88448186,0.34359296,0.10083562
695.00000000,0.88631006,0.37374372,0.10420283
700.00000000,0.89803183,0.40577889,0.10552764
705.00000000,0.91582915,0.42608878,0.10415715
710.00000000,0.93718593,0.44007538,0.10053106
715.00000000,0.96231156,0.44532321,0.09558017
720.00000000,0.97995184,0.44611314,0.09005254
725.00000000,0.99140251,0.44560302,0.08589348
